title,price,rating
SONY PlayStation 5 console- Cricket 24 825 GB  (White),"₹57,990",4.7
SONY PlayStation 5 Digital Edition 825 GB with Astro's Playroom  (White),"₹44,990",4.8
SONY PlayStation5 Console (slim) CFI-2008A01X 1024 GB  (White),"₹49,990",4.7
SONY PlayStation5 Digital Edition (slim) CFI-2008B01X 1024 GB  (White),"₹39,990",4.7
SONY PlayStation 5 console 825 GB  (NA),"₹54,990",4.7
SONY Brand New Latest PlayStation Portal Remote Player for PS5 White GB  (White),"₹26,999",5
"Gameson PSP Built-in Games MP4 Player Ebook Tv Out Portable X7 Game Console Video Game_5 8 GB with Taken, Mustafa, Mario, Bomparman, contra, Jungale Mario, and more Action Games  (Multicolor)","₹3,399",3.5
"TECHZONE X7 PSP Portable Video Games Classic Game, Double Rocker, MP5 Game Controller_14 8 GB with Arcade Games FC Games NES Games  (Blue&Red)","₹3,399",2.3
"TECHZONE X7 PSP Portable Video Games Classic Game, Double Rocker, MP5 Game Controller 8 GB with Arcade Games FC Games NES Games  (Blue&Red)","₹3,399",3.5
TECHZONE X7 Plus 5.1 PSP 8G psp Console 2000 Games Retro Video Handheld Game Player_K5 8 GB with Arcade Games FC Games NES Games  (Multicolor),"₹3,249",3.5
"Hgworld Sup R35X Retro 400+ Classic Video Games Portable Handheld Gaming Console 64 GB with 3.5"" Screen, Contra, Turtles, Tank, Bomber Man, Aladdin, Etc  (White, Pocket Console)",₹499,4
"BSVR Newly 400 Games Super Mario 057 Gaming Console Portable and Best For Kids Game 8 GB with Super Mario, DR Mario, Mario, Contra, Turtles, Tank, Total 400 Games  (Multicolor)",₹573,3.7
Valve Steam Deck Latest Oled Edition 512 GB  (Black),"₹58,990",4.9
SONY Playstation 4 Brand New Ps4 Slim Console 500 GB  (Black),"₹30,412",4.9
NextTech G5 500 In1 Handheld Colorful Mini Game Box Also Connect With TV Option For kids 0.4 GB with Super Mario Like (Bros/Brose3/6/9/10/14)Super Contra Like(2/6/7) Total 500 Games  (Multicolor),₹989,5
SONY Playstation Brand New Ps4 Slim Console 1TB  (Black),"₹31,987",4.7
"Gameson X7 PSP HDMI Games MP4 Player Tv Out Portable Game Console With 10000 8 GB with Mario, Contra, Mustafa, Tekken 3, etc.  (Black, 1)","₹3,449",4
TECHZONE X7 Plus 5.1 PSP 8G psp Console 2000 Games Retro Video Handheld Game Player 8 GB with Arcade Games FC Games NES Games  (Blue&Red),"₹3,399",3.7
Clubics PVP Gaming Console - Pocket Game (RED) 1 GB with SUPER MARIO  (Red),₹835,3.7
POWERNRI PVP Station Light 3000 Game .160 GB with All Digital Games  (Green),₹839,3.7
"Clubics Best PVP Ga
ng Console for Kids-PVP(Blue) 1 GB with SUPER MARIO  (Blue)",₹835,3.5
"Grabit POCKET MP4 PLAYER WITH 10000 GAMES INCLUDED 4 GB with VINTAGE GAMES MARIO ,CONTRA ,TEKKEN 3 AND ALL OTHER ACTION RACING SHOOTING ARCADE PUZZLE CAR RACING SPORTS  (Multicolor)","₹2,456",3
"Grabit I_NE-XT IN-1001 4 GB with VINTAGE CAR RACING,SHOOTING, ACTION GAMES ,ARCADE,SHOOTING ,WRESTLING,SPORTS  (Black)","₹2,549",3.8
"Grabit POCKETMP4 PLAYER WITH 10000 GAMES INCLUDED 8 GB with VINTAGE GAMES MARIO, Tekken3, Action games, Racing games, Shooting, Arcade  (Multicolor)","₹2,558",3.4
Clubics X20 5.1 inch HD Screen 8GB Memory/MP3 Player/360 Degree joystick Game Console 8 GB with inbuild Speaker  (Grey),"₹4,249",3.6
SONY Ps4 Slim Console 1TB  (Black),"₹31,987",3.9
PSS Charging Station for PS5 DualSense Controller Fast Charging & Silicone Case 1.2 GB  (Red and White),"₹2,899",3.7
"TECHZONE PSP Built-in Games MP4 Player Tv Out Portable Game Console With 10000 TZ_PSP_17 8 GB with Mario, Contra, Mustafa, Tekken 3, etc.  (Black, 1)","₹2,734",3.4
"markif 8 BIT GS5 TV GAME CONSOLE INBUILT 200 CLASSIC GAMES WITH 2 WIRED CONTROLLERS NA GB with MARIO, CONTRA, MANY MORE  (White)","₹1,449",3.2
SONY Ps4 Slim Console 500 GB  (Black),"₹30,412",3.9
"Novax Divaa Store 101000 in 1 Video game 1 GB with 101000 Game, 2 Remotes, Inbuild Game  (Black)",₹899,3.1
"SONY Playstation 4 Brand New Ps4 Slim Console 1TB  (Black, 1 X Extra Controller)","₹36,350",4.1
TECHZONE X7 PSP Game Console Support TV Output Photograph with Gift Earphone Blue&Red 8 GB with Arcade Games FC Games NES Games  (Blue&Red),"₹3,389",3
"GLOWISH TFT SCREEN DOUBLE ROCKER POCKET GAME PLAYER VINTAGE GAMES INCLUDED 8 GB with 100 GAMES, Tekken 3, Racing, Contra, mario  (Multicolor)","₹2,999",3.8
"TECHZONE PSP Built-in Games MP4 Player Tv Out Portable Game Console With 10000 TZ_PSP_05 8 GB with Mario, Contra, Mustafa, Tekken 3, etc.  (Black, 1)","₹2,739",3.3
Clubics X20 Gaming Box ARCADE PUZZLE Game inbuild Speaker VINTAGE GAMES Memory 8 GB with TEKKEN 3 AND ALL OTHER ACTION RACING  (Green),"₹4,249",3.4
"PTCMart Dual System in 1 Box, 5000+Games inbuilt & HD Android 9.1 Gaming box/Android box 32 GB with NDS PSP PS1 N64  (Black)","₹3,999",3.4
NextTech Colorful G5s 500 In1 Handheld Mini Game Box Also Connect With TV Option For kids 0.4 GB with Super Mario Like (Bros/Brose3/6/9/10/14)Super Contra Like(2/6/7) Total 500 Games  (Multicolor),₹989,3.3
"TECHZONE X7 Handheld Game Console psp with Preload 10000 Games, Portable Video Games 8 GB with Arcade Games FC Games NES Games  (Blue&Red)","₹3,399",3.5
NextTech X7 PSP Game Console:Unlock The Power of 1000+ Games and Nostalgic Memories YR-03 8 GB with 1000+ Games  (Multicolor),"₹4,999",3.3
